id	title	description	publishedAt	defaultLanguage	country	viewCount	subscriberCount	videoCount
UCyjuFsbclXyntSRMBAILzbw	2CELLOS	"The official home of 2CELLOS - we post our new videos and live concert footage here every few weeks, so keep coming back for the latest 2CELLOS!!"	2011-10-17T21:02:43Z		HR	1550948663	6130000	213
UC09GemGjss3hPdljwtJ8TPA	HAUSER	"Since that fateful moment when he decided to create a new, musical experience out of the long and established traditions of classical, pop and rock music, HAUSER has been playing arena concerts all over the world, defying the conventions of the established music business. From his now iconic rendition of Michael Jackson’s, “Smooth Criminal,” where he was established as the founding member of the duo 2Cellos, he has captured the hearts and minds of millions. HAUSER’S performance style may only be described as electric; a unique pairing of cello pyrotechnics that align beauty, elegance and true rock muscle. Whether you find him collaborating with other artistic legends, like Andrea Bocelli or the Red Hot Chili Peppers, HAUSER consistently pushes the limits of his cello and his music-making. He is a phenomenon that is one part virtuoso and the other, that of sheer, animal magnetism. For HAUSER’s fans, perhaps it is simply his ability to unify generations of music lovers. "	2009-06-11T16:25:48Z		HR	623895642	2270000	194
UCPJ61cXBMjpjyCcb5OhUzEg	"Doctor D.S."	"Follow me on other Social Networks! Instagram : https://www.instagram.com/doctor_ds_youtube/ Tik Tok: https://www.tiktok.com/@doctordsyoutube "	2016-09-29T14:20:36Z		HR	483371336	2000000	257
UCvwDNr7ec4Qaa_25VYOMhxg	KingsOfFailsShow	"KORISTI KOD MarkoKOFS u item shopu hihihihihi LIVE NA TROVU https://trovo.live/Kingsoffailsshow Igram Igrice i trošim vrijeme xD ---------- Ostvarenja kanala ( Hvala vam) : 32 pretplatnika - 23.12.2013. 100 pretplatnika - 30.1.2014. - HVALA VAM :) 1100 pretplatnika - 18.5.2014. - HVALA VAM :) 3100 pretplatnika - 30.9.2014. - HVALA VAM :D 4000 pretplatnika - 2.11.2014. - OMG :D 6000 pretplatnika - 6.12.2014 - WHAT THE HELLL! xD 10 000 PRETPLATNIKA -13.1.- JA NE MOGU VJEROVATI!!!!!!!!!! :D 25 000 PRETPLATNIKAAAAA- 17.3.-HOLY BAKSBDLČADLABDL WOW :D HVALA VAM !!!!!! 79 737 PRETPLATNIKAAAAAAAAAA- 8.7 - ŠNJIŠNJIŠNJIŠNJIŠšaskdšpakdpšaksoda WOW HVALA VAM NA PODRŠCI !!!!! ^^ :D 100 000 PRETPLATNIKAAAAAAAAAAAAAAAAAAAA-7.8. - San jednog gejmera je ostvaren :D hvala svima na svoj podršci najbolji ste :D"	2013-11-05T09:53:19Z		HR	578869172	1210000	1737
UCL5YbN5WLFD8dLIegT5QAbA	"agadmator's Chess Channel"	"Hello everyone! Basically, I upload everything that I personally find interesting. Thank you all for visiting. Subscribe and like ONLY if you enjoy the videos :) If you realllly enjoy my content, you're welcome to support me and my channel with a small donation via PayPal or Crypto. Link to PayPal donation https://www.paypal.me/agadmator Maiar Wallet HERO TAG @agadmator or join me here https://get.maiar.com/referral/pv0mam6l2a BTC address bc1qckd3ut0hqyymzv33eus97ld8klj02xhk2kcwld BCH address qzmfclyn69hqhjslls40r7r0dsttwe3tcsl946w4fr LTC address Laarf1RmvCpLt2BcSwC1PBLG3hRC4HjBrz NANO nano_1h1kgfaq88t1btwadqzx73rbha5hwbb88sxmfns851kwj8hnosdj51w388xx Contact: agadmator@gmail.com See you soon! :)"	2007-04-24T10:55:45Z		HR	580669112	1230000	2683
UCkzsValVHpv7wKnULt5q66w	BloodMaster	"Pozdrav svima. Ja sam BloodMaster, imam 76 godina i obožavam igrati i snimati sve igre koje mi se sviđaju :P CPU: Intel i9 9900K GPU: Gigabyte RTX 2080Ti AORUS XTREME 11GB MBO: Gigabyte AORUS Z390 PRO WIFI FAN: Corsair Hydro H115i for RGB RAM: 64gb DDR4 3000MHz (4x16gb) SSD: 240gb, 480gb, 1tb Samsung 860, 2 x 2tb Samsung 860 PSU: EVGA 750 G3 CASE: Be quiet! SILENT BASE 800 silver Monitor: 3 x Philips 24inch Kamera: Logitech Brio i Logitech C920 Mikrofon: AT2020 ATX + XENYX Q802USB Laptop: HP Omen i7 + GTX 1060 6gb"	2011-07-02T12:13:01Z		HR	812549485	1140000	1281
UCx0mr1alzkR_oX7oHf77BHw	JoomBoos	"This is a story about new beginnings. The Outsiders - Soon on JoomBoos! "	2015-11-12T00:35:50Z		HR	529300886	997000	2759
UCsZ8eHWcQSwLeeQxMF3PGzA	Ivanowski	"My name is Ivan! For as long as I can remember Ive been playing different GTA titles throughout my life, starting from GTA 2 and now GTA 5, I enjoy making funny GTA 5 videos, all of them are 100% original and made by me and my love for the game! I love the process of spending many hours by recording the gameplay, editing it all together and then uploading it on YouTube for your enjoyment! If you are interested in seeing some of my videos, please feel free to check them! :D"	2015-09-30T23:28:31Z		HR	392586704	836000	180
UCy7Xi4MM7rl-YyzWFphxVCA	OrangeGuy	"‎i do the youtube thing. Business inquiries: orangemansac@gmail.com Twitter: https://twitter.com/OrangeGuy_YT "	2015-03-06T16:27:10Z		HR	131529241	807000	570
UC_vH8DvvkrMB3D69NBdjLnQ	Severina	"Zabranjeno je svako kopiranje video/audio snimaka i postavljanje na druge kanale! Copying, re-uploading and illegally distributing this copyrighted work is strictly prohibited! Official YouTube Channel of Severina Publishing & copyright - Severina © All rights reserved 2006."	2006-05-14T16:28:23Z		HR	845419466	685000	826
