id	EbXTwqO4j4o
published	2019-11-01 20:42:21
published_unix	1572640941
title	Marko Francišković o svom prelasku na Islam
description	ČITAV Podcast pogledajte na LINK-u: https://www.youtube.com/watch?v=s3Tbb0CsYng
channelId	UCv3Ob6T4cg4Okj0iGTdeIbg
channelTitle	Podcast Inkubator
duration	PT8M12S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	117688
likeCount	1992
dislikeCount	
favoriteCount	0
commentCount	1846
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
