"";"column_label";"name";"genre";"subscribers";"videos";"views";"lastvideo";"link"
"1";"1";"Scrille";"Entertainment";NA;NA;181000;2020-06-30;"http://www.youtube.com/channel/UCqt5C7FUWwhVuVhJ_N2YLjg"
"2";"1";"Saluto-Team";"Travel & Events";NA;168;1,06e+08;2021-05-03;"http://www.youtube.com/channel/UCgl_bN1sJ6t8myHDXMAHH4g"
"3";"1";"Ivka Ivi";"People & Blogs";NA;87;628000;2021-04-20;"http://www.youtube.com/channel/UCjJisvyjXYgsTNPluQKVKTw"
"4";"1";"3Dtoys4U";"Autos & Vehicles";NA;175;6,51e+08;2021-03-18;"http://www.youtube.com/channel/UCZaGSnE3zI6zu-RcGdgJv9A"
"5";"1";"Grin Beatz";"Music";NA;726;689000;2021-05-05;"http://www.youtube.com/channel/UCIbytarliDPQ6wf5n_YY2jQ"
"6";"1";"vel cro";"People & Blogs";NA;237;5,58e+08;2021-05-30;"http://www.youtube.com/channel/UCvjVy_fSrSdtr4FevZh31xg"
"7";"1";"domino official";"Music";NA;30;499000;2021-03-09;"http://www.youtube.com/channel/UCUfhFZEaS6tPqdnSeHz5qdw"
"8";"1";"CroAsian Kitchen&Life";"People & Blogs";NA;143;519000;2021-05-13;"http://www.youtube.com/channel/UCs6ZL2NVN3360EENcMJ1LqA"
"9";"1";"Biba Mimas";"Entertainment";NA;5;199000;2021-05-08;"http://www.youtube.com/channel/UCTWDIQ566ZwkIqdCBhOUgMg"
"10";"1";"TV Nova Pula";"People & Blogs";NA;3105;842000;2021-05-15;"http://www.youtube.com/channel/UCe_tp4aZoWzjd4P9gohGFGg"
"11";"1";"Love mama Africa";"Education";NA;770;2,05e+08;2021-05-23;"http://www.youtube.com/channel/UCIcgt62PZgt4Ac5lz6UlJdQ"
"12";"1";"Vedran Badun Adventures";"Entertainment";NA;416;1,25e+08;2021-06-13;"http://www.youtube.com/channel/UC5lZ43BS7FZHRtaWTeDoKgA"
"13";"1";"Zodia";"Comedy";NA;159;1,7e+08;2021-05-03;"http://www.youtube.com/channel/UC3wsbu9wd8Q0gMESjLooUIA"
"14";"1";"Snow Ariel";"Film and Animation";NA;114;1,04e+08;2021-05-03;"http://www.youtube.com/channel/UCJqBND3_hH588kNMhu6ZIlA"
"15";"1";"Vuja";"Music";NA;7;344000;2021-03-01;"http://www.youtube.com/channel/UCkdQevwlwVVLSPAyEw6GpCQ"
"16";"1";"Mimin kutak";"Howto & Style";NA;79;629000;2021-06-09;"http://www.youtube.com/channel/UCTKWqdrwU42Ibrhltr3zymQ"
"17";"1";"I am Ana";"Howto & Style";NA;171;2,12e+08;2021-05-11;"http://www.youtube.com/channel/UCFY5sfi8Oq9c3B3XZP6nsIg"
"18";"1";"Green Life";"Howto & Style";NA;1392;4,59e+08;2021-05-28;"http://www.youtube.com/channel/UCEmGkMXO9Gs-rtiHCAFi0jQ"
"19";"1";"dena marki";"Sports";NA;15;331000;2021-03-22;"http://www.youtube.com/channel/UCGGUNp9Ab3mGYS1Iy9lXuTg"
"20";"1";"Nikola Gnjeè";"Nonprofits & Activism";NA;116;115000;2021-03-13;"http://www.youtube.com/channel/UCUcQj7Vn5m2iMa_FnOMs1Ew"
"21";"2";"FPS TEST";"Gaming";NA;610;1,64e+08;2021-05-20;"http://www.youtube.com/channel/UCznWTu_lace3EWS_q28360A"
"22";"2";"frankycro";"Entertainment";NA;268;640000;2021-06-20;"http://www.youtube.com/channel/UCT-mb86hN0rHsBNwjFtFt_A"
"23";"2";"MARCELLO";"Music";NA;14;177000;2021-05-02;"http://www.youtube.com/channel/UC2o_ErQMoBD3-j9XbOyEVAA"
"24";"2";"novimilenij";"Science & Technology";NA;2638;3,53e+08;2021-06-15;"http://www.youtube.com/channel/UCSdWtZ8dN3GjvYDPuEhm9Jw"
"25";"2";"Krakonoš";"Entertainment";NA;84;1,83e+08;2021-02-07;"http://www.youtube.com/channel/UCXS5kte9LYOoHRJG7w7mgKw"
"26";"2";"heydium";"Music";NA;186;2,47e+08;2021-05-09;"http://www.youtube.com/channel/UCMxXT0fAXZnJeBckmkLcN_Q"
"27";"2";"Orhideje Sve U12";"Howto & Style";NA;119;1,34e+08;2021-05-17;"http://www.youtube.com/channel/UCEkN4DnITGAlXQsD74wTQzw"
"28";"2";"Drone Playground";"People & Blogs";NA;21;105000;2021-05-03;"http://www.youtube.com/channel/UCjiy7gvDxr3FMdoba1BmfGA"
"29";"2";"Robyeditz";"Gaming";NA;16;912000;2020-12-27;"http://www.youtube.com/channel/UC16TX3BP4YsJADLGCqn71_g"
"30";"2";"Marco";"Autos & Vehicles";NA;14;598000;2020-12-30;"http://www.youtube.com/channel/UC2xX8pAF3l6mt69XIDPkezg"
"31";"2";"Tihomir Krsticevic";"Music";NA;33;444000;2021-02-20;"http://www.youtube.com/channel/UCi7HrdH8-AyAoW17PThhWKQ"
"32";"2";"Doris Dragoviæ - Službeni kanal";"Music";NA;1082;4,2e+08;2021-04-17;"http://www.youtube.com/channel/UCCD4XMGQSgCozZo19oWYDIQ"
"33";"2";"NeozbiljnaVesnaa";"Gaming";NA;32;797000;2021-03-21;"http://www.youtube.com/channel/UCq6FcEj8L0d1mfDQ2vJgU6A"
"34";"2";"The Impressive";"Entertainment";NA;74;165000;2020-11-15;"http://www.youtube.com/channel/UCkzymDsgtvVpEZISqQ15yzg"
"35";"2";"K.U.L MUSIC";"Music";NA;10;247000;2021-04-29;"http://www.youtube.com/channel/UCTzuOIo-FY1fkIR67LkiVhA"
"36";"2";"BOŽJI ÈUVAR - BIBLIJSKI BOG JE MOJ JEDINI BOG";"People & Blogs";NA;12;299000;2021-04-24;"http://www.youtube.com/channel/UCatBtGZgdMqg9JVMxEAaNcA"
"37";"2";"Ba Nuj";"Music";NA;6;146000;2021-03-03;"http://www.youtube.com/channel/UCcAXUJLr_iueDRUKhfhu4eA"
