"";"column_label";"name";"genre";"subscribers";"videos";"views";"lastvideo";"link"
"1";"1";"2CELLOS";"Music";5680000;203;180000000;2021-04-28;"http://www.youtube.com/channel/UCyjuFsbclXyntSRMBAILzbw"
"2";"1";"HAUSER";"Music";1830000;168;457000000;2021-05-01;"http://www.youtube.com/channel/UC09GemGjss3hPdljwtJ8TPA"
"3";"1";"Doctor D.S.";"Autos & Vehicles";1750000;208;410000000;2021-05-01;"http://www.youtube.com/channel/UCPJ61cXBMjpjyCcb5OhUzEg"
"4";"1";"KingsOfFailsShow";"Gaming";1150000;1708;514000000;2021-05-09;"http://www.youtube.com/channel/UCvwDNr7ec4Qaa_25VYOMhxg"
"5";"1";"agadmator's Chess Channel";"Entertainment";1110000;2200;454000000;2021-05-12;"http://www.youtube.com/channel/UCL5YbN5WLFD8dLIegT5QAbA"
"6";"1";"BloodMaster";"Gaming";1070000;1208;711000000;2021-05-08;"http://www.youtube.com/channel/UCkzsValVHpv7wKnULt5q66w"
"7";"1";"JoomBoos";"Entertainment";910000;2071;419000000;2021-05-12;"http://www.youtube.com/channel/UCx0mr1alzkR_oX7oHf77BHw"
"8";"1";"Ivanowski";"Gaming";848000;172;390000000;2021-01-08;"http://www.youtube.com/channel/UCsZ8eHWcQSwLeeQxMF3PGzA"
"9";"1";"OrangeGuy";"Gaming";791000;527;122000000;2021-03-22;"http://www.youtube.com/channel/UCy7Xi4MM7rl-YyzWFphxVCA"
"10";"1";"Severina";"Music";645000;816;784000000;2021-05-01;"http://www.youtube.com/channel/UC_vH8DvvkrMB3D69NBdjLnQ"
"11";"1";"Supertalent";"Entertainment";614000;628;358000000;2019-12-27;"http://www.youtube.com/channel/UCq6NBOVfJ3UG2oGojL44E6w"
"12";"1";"The Dark Den";"Pets & Animals";575000;558;90600000;2021-05-10;"http://www.youtube.com/channel/UC178kThBUvGNps5cabRP_2Q"
"13";"1";"HCL.hr";"Gaming";544000;2299;220000000;2021-05-10;"http://www.youtube.com/channel/UCoAVMy_9E_n75aZXbotfVjw"
"14";"1";"Binkov's Battlegrounds";"Education";538000;164;98600000;2021-05-05;"http://www.youtube.com/channel/UCPdk3JuQGxOCMlZLLt4drhw"
"15";"1";"TheSikrt";"Entertainment";518000;324;119000000;2021-05-02;"http://www.youtube.com/channel/UC7rKXbrA7eVxMJswULkejcQ"
"16";"1";"Nugato";"Gaming";512000;883;81600000;2021-04-28;"http://www.youtube.com/channel/UCT1xv_rVS0bvk8ZSz7AKqDw"
"17";"1";"Folli";"Gaming";501000;80;48400000;2021-05-13;"http://www.youtube.com/channel/UC8XAvvzpdg8LJnpqgQrvfxg"
"18";"1";"CbyS Paracord and More";"Howto & Style";483000;485;64700000;2021-05-07;"http://www.youtube.com/channel/UCe1owj2H10TXrB3TOFmtV0w"
"19";"1";"NOVA TV";"Entertainment";481000;5821;573000000;2021-05-16;"http://www.youtube.com/channel/UCbzmcyoz_CzJJgHonmkJ23g"
"20";"1";"Zakon Braæe";"Entertainment";466000;563;111000000;2021-04-30;"http://www.youtube.com/channel/UCMlJ8PqQvhwU1YatgxvHrtA"
"21";"2";"ComedyCat";"Entertainment";427000;202;30900000;2021-05-05;"http://www.youtube.com/channel/UCgt45fhDQoQM5HLBd3VAqvQ"
"22";"2";"Future Bass Mix";"Music";425000;2595;186000000;2021-05-12;"http://www.youtube.com/channel/UCRiCm3PH5riqxXZCHfbQxJQ"
"23";"2";"Mi Klinci";"Education";407000;117;259000000;2020-05-12;"http://www.youtube.com/channel/UCAH8_gJ49UcWcvBpYjoT13Q"
"24";"2";"Dennis Domian";"Entertainment";403000;355;100000000;2021-05-11;"http://www.youtube.com/channel/UC9ocwnNOrNeF9JE97KlmJqQ"
"25";"2";"Sašina Kuhinja";"Howto & Style";400000;1084;150000000;2021-05-10;"http://www.youtube.com/channel/UCctk3L2M9Dw_EmcVkuAMX4Q"
