id	title	description	publishedAt	defaultLanguage	country	viewCount	subscriberCount	videoCount
UCw-3y_PAXQbtkrCZAn6xhSg	"Dark Den Two"		2019-02-17T21:16:12Z		HR	636722	28200	12
								
UCR_PRJ1wwjfhmNefMottuRg	"Edo Maajka"	"Oficijelni youtube kanal Ede Maajke."	2017-03-03T20:37:32Z		HR	10908258	36600	33
UChr2PzRSrhgIV1cXWMsWwVQ	"navi subliminals"	"Hiii I'm a basic, teenage subliminal maker I try my best to make quality subliminals that people enjoy listening to. Hope you like my subliminals 💕, I'd appreciate if you'd subscribe and click that bell to stay notified. I post 2 to 4 subliminals a week"	2014-11-25T20:00:48Z		HR	154255	25400	5
UCTsGuQLVlji2Z-f1VocGT9A	"Blitz Hrvatska"	"Dobro došli na službeni YouTube kanal vodećeg distributera filmova u regiji. Ovdje možete saznati sve informacije o nadolazećim filmovima najvećih filmskih studija. Bavimo se distribucijom sadržaja putem velikih ekrana, videa, televizije i Interneta preko 25 godina. Film je naš život! Ponosni smo partneri najvećih filmskih major studija Warner Bros Pictures International, Paramount Pictures International, 20th Century Studios i The Walt Disney Company; kao i ""mini-major"" studija Lionsgate, STX Entertainment, Amblin Entertainment, MGM; te brojnih nezavisnih filmskih kompanija poput Europa Corporation, Studio Canal, Pathe, Gaumont, i mnogih drugih. Blitz posebno surađuje s domaćim filmskim autorima s kojima se trudimo poticati razvoj hrvatske kinematografije."	2012-06-15T08:49:09Z		HR	44144618	29400	772
UCw3YrvPm_bSUpF1BN2YdxnA	"Gacka - Prozor - Lika"	"Gacka je rijeka ponornica duga 61 km sa svojim pritokama, a izvire ispod Godače i Venca u Sincu, selu pokraj Otočca. Proteže se od svog izvora, Tonković vrila, te se polako spušta niz područje Gackog polja primajući brojne pritoke. Odlikuje ju je čista bistra voda koja unatoč krševitom kraju relativno sporo teče. Prozor je naselje u Hrvatskoj, u Ličko-senjskoj županiji, 5 km jugoistočno od Otočca. Lika je povijesna regija na jugozapadu Hrvatske, površine od oko 5.000 km2. Lika je gorska regija ili visoravan, okružena gorskim lancima; Velebit na jugu, Velika Kapela na zapadu, Mala Kapela na sjeveru te Lička Plješivica na istoku. Hvala na posjeti mom kanalu! Thank you for visiting my channel! Danke für Ihren Besuch meine Play! Merci de visiter mon canal! http://www.facebook.com/GackaProzor/"	2007-07-07T12:14:45Z	hr	HR	20191738	28900	653
UCQshANIyd9610OO5YshdRrg	VoB		2009-06-30T11:50:56Z		HR	16023435	27600	27
UC7Y4PlRv3_TMOkc3O21sJWQ	dalajlamapeace	"""A mind that is full of conclusions is a dead mind. A living mind is a free mind, learning, never concluding."" Jiddu Krishnamurti My Channel is only for promoting artists and spreading love*. ...without any intention to use it for any profit ♫ *~♥~☼~ * and... I'm Female.....🙂...🙏"	2010-07-13T21:56:03Z		HR	11375949	26600	6269
UCYlp-u4-BSWNIPEJ-5fhiNg	"PC Crazy"	"Dario from PC Crazy with regular videos of reviews and benchmarks of computer components and peripherals. Now and then some nice time lapse videos of my water cooled custom builds. If you like the content, stay, like, comment and subscribe here: https://bit.ly/3erJB33 Thank you and enjoy! :)"	2016-01-30T17:09:12Z		HR	9354805	26200	735
UC7qkcQ7f1r8Wmi49erDXoEg	"Kreten Domaćica"	"dobro došli na kanal kreten domaćica. ovdje ćemo se družiti samo s odraslim ljudima, i odraslim tematikama na neozbiljan način. www.internetmater.com "	2019-12-05T13:55:03.107241Z		HR	3261132	29100	78
