name;lang;no;;genre;subscribers;videos;views;lastvideo;link
2CELLOS;e;1;;Music;5680000;203;180000000;28.4.2021;http://www.youtube.com/channel/UCyjuFsbclXyntSRMBAILzbw
HAUSER;e;2;;Music;1830000;168;457000000;1.5.2021;http://www.youtube.com/channel/UC09GemGjss3hPdljwtJ8TPA
Doctor D.S;e;3;;Autos & Vehicles;1750000;208;410000000;1.5.2021;http://www.youtube.com/channel/UCPJ61cXBMjpjyCcb5OhUzEg
KingsOfFailsShow;h;4;;Gaming;1150000;1708;514000000;9.5.2021;http://www.youtube.com/channel/UCvwDNr7ec4Qaa_25VYOMhxg
agadmator's Chess Channel;h;5;;Entertainment;1110000;2200;454000000;12.5.2021;http://www.youtube.com/channel/UCL5YbN5WLFD8dLIegT5QAbA
BloodMaster;h;6;;Gaming;1070000;1208;711000000;8.5.2021;http://www.youtube.com/channel/UCkzsValVHpv7wKnULt5q66w
JoomBoos;h;7;;Entertainment;910000;2071;419000000;12.5.2021;http://www.youtube.com/channel/UCx0mr1alzkR_oX7oHf77BHw
Ivanowski;e;8;;Gaming;848000;172;390000000;8.1.2021;http://www.youtube.com/channel/UCsZ8eHWcQSwLeeQxMF3PGzA
OrangeGuy;e;9;;Gaming;791000;527;122000000;22.3.2021;http://www.youtube.com/channel/UCy7Xi4MM7rl-YyzWFphxVCA
Severina;h;10;;Music;645000;816;784000000;1.5.2021;http://www.youtube.com/channel/UC_vH8DvvkrMB3D69NBdjLnQ
Supertalent;h;11;;Entertainment;614000;628;358000000;27.12.2019;http://www.youtube.com/channel/UCq6NBOVfJ3UG2oGojL44E6w
The Dark Den;e;12;;Pets & Animals;575000;558;90600000;10.5.2021;http://www.youtube.com/channel/UC178kThBUvGNps5cabRP_2Q
HCL.hr;h;13;;Gaming;544000;2299;220000000;10.5.2021;http://www.youtube.com/channel/UCoAVMy_9E_n75aZXbotfVjw
Binkov's Battlegrounds;e;14;;Education;538000;164;98600000;5.5.2021;http://www.youtube.com/channel/UCPdk3JuQGxOCMlZLLt4drhw
TheSikrt;h;15;;Entertainment;518000;324;119000000;2.5.2021;http://www.youtube.com/channel/UC7rKXbrA7eVxMJswULkejcQ
Nugato;h;16;;Gaming;512000;883;81600000;28.4.2021;http://www.youtube.com/channel/UCT1xv_rVS0bvk8ZSz7AKqDw
Folli;e;17;;Gaming;501000;80;48400000;13.5.2021;http://www.youtube.com/channel/UC8XAvvzpdg8LJnpqgQrvfxg
CbyS Paracord and More;e;18;;Howto & Style;483000;485;64700000;7.5.2021;http://www.youtube.com/channel/UCe1owj2H10TXrB3TOFmtV0w
NOVA TV;h;19;;Entertainment;481000;5821;573000000;16.5.2021;http://www.youtube.com/channel/UCbzmcyoz_CzJJgHonmkJ23g
Zakon Bra?e;h;20;;Entertainment;466000;563;111000000;30.4.2021;http://www.youtube.com/channel/UCMlJ8PqQvhwU1YatgxvHrtA
Awesome Experiments;e;21;;Entertainment;427000;202;30900000;5.5.2021;http://www.youtube.com/channel/UCgt45fhDQoQM5HLBd3VAqvQ
Future Bass Mix;e;22;;Music;425000;2595;186000000;12.5.2021;http://www.youtube.com/channel/UCRiCm3PH5riqxXZCHfbQxJQ
Mi Klinci;h;23;;Education;407000;117;259000000;12.5.2020;http://www.youtube.com/channel/UCAH8_gJ49UcWcvBpYjoT13Q
Dennis Domian;h;24;;Entertainment;403000;355;100000000;11.5.2021;http://www.youtube.com/channel/UC9ocwnNOrNeF9JE97KlmJqQ
Sašina Kuhinja;h;25;;Howto & Style;400000;1084;150000000;10.5.2021;http://www.youtube.com/channel/UCctk3L2M9Dw_EmcVkuAMX4Q
Croatia Records;h;26;;Entertainment;359000;3378;538000000;13.5.2021;http://www.youtube.com/channel/UCm3VSb_0u6LOX38LTnOdttg
MarkoKC;h;27;;Gaming;356000;1010;82400000;9.5.2021;http://www.youtube.com/channel/UCYcXicWbPZ-p2zQRStpYrEg
Katrinci;e;28;;Film and Animation;343000;92;32500000;2.5.2021;http://www.youtube.com/channel/UCecg9oqifmhkTNEC_Io80pQ
Gloria Berger;h;29;;People & Blogs;341000;534;74900000;6.4.2021;http://www.youtube.com/channel/UChKzDUJC_OzH054LMSmNeGg
Progressive Astronaut;e;30;;Music;332000;1966;56500000;11.5.2021;http://www.youtube.com/channel/UCE2IKH8vYeRHLgaxFu0Paxw
8rasta9;h;31;;Gaming;331000;284;29600000;21.3.2021;http://www.youtube.com/channel/UCo0-Trh1wsURXuQFZaDFtOA
GSMaholic;e;32;;Entertainment;313000;162;3220000;12.5.2021;http://www.youtube.com/channel/UCHpQ4y8AxUUDDWy_N1iiWkA
DjecjaTV;h;34;;Entertainment;292000;1488;265000000;22.4.2021;http://www.youtube.com/channel/UCr6FCfJeMgYbLWPiqAOKbYw
Marko Vuleti?;h;35;;Entertainment;281000;271;48200000;12.5.2021;http://www.youtube.com/channel/UCUJ1Q558nDOgrCkYd-1AoQQ
